epoch,train_loss,test_losstrain_acc,test_acc
73,0.0035684723407030106,1.3213274478912354,0.9989200234413147,0.7847999930381775
74,0.0036399168893694878,1.3445032835006714,0.9988800287246704,0.7842000126838684
75,0.004034219775348902,1.3863351345062256,0.9987999796867371,0.781000018119812
76,0.003620998002588749,1.3712131977081299,0.9987000226974487,0.7815999984741211
77,0.00327906827442348,1.350487470626831,0.9990000128746033,0.7833999991416931
78,0.003403508337214589,1.3570953607559204,0.998740017414093,0.7851999998092651
79,0.003411032957956195,1.3686994314193726,0.998960018157959,0.7860999703407288
80,0.0039013889618217945,1.3900457620620728,0.9986600279808044,0.7797999978065491
81,0.0026589708868414164,1.3185639381408691,0.999239981174469,0.7907000184059143
82,0.002855799626559019,1.3237496614456177,0.9991000294685364,0.7906000018119812
83,0.002795696724206209,1.328864574432373,0.9991400241851807,0.7864000201225281
84,0.002774685388430953,1.346556305885315,0.9991000294685364,0.7886000275611877
85,0.002575511811301112,1.3412067890167236,0.9991400241851807,0.788100004196167
86,0.0022226418368518353,1.356744408607483,0.9993000030517578,0.7876999974250793
87,0.0016660647233948112,1.347548246383667,0.9994000196456909,0.7914000153541565
88,0.001975070917978883,1.361361026763916,0.9992600083351135,0.7883999943733215
89,0.0025830005761235952,1.381980061531067,0.9990800023078918,0.7871000170707703
90,0.002743752207607031,1.4041383266448975,0.9990400075912476,0.7864000201225281
91,0.002070140792056918,1.3986084461212158,0.9992799758911133,0.7810999751091003
92,0.0022388212382793427,1.3789010047912598,0.9993000030517578,0.7889000177383423
93,0.0016148060094565153,1.3580678701400757,0.9993799924850464,0.7886000275611877
94,0.0015058581484481692,1.3803740739822388,0.9994199872016907,0.785099983215332
95,0.0015902265440672636,1.372057318687439,0.9994999766349792,0.7874000072479248
96,0.0013535398757085204,1.3719360828399658,0.9994000196456909,0.7886999845504761
97,0.0017170144710689783,1.3641035556793213,0.9993799924850464,0.7874000072479248
98,0.0014598921407014132,1.3629218339920044,0.9994800090789795,0.788100004196167
99,0.0015762089751660824,1.3953704833984375,0.9994199872016907,0.7894999980926514
100,0.001833159476518631,1.3812928199768066,0.9993199706077576,0.7876999974250793
101,0.001221401384100318,1.3477051258087158,0.9995200037956238,0.7937999963760376
102,0.001327241538092494,1.3538919687271118,0.9994999766349792,0.7893000245094299
103,0.0017778390320017934,1.3754253387451172,0.9994199872016907,0.7878999710083008
104,0.001239559380337596,1.3717420101165771,0.9995800256729126,0.7886999845504761
105,0.0014475313946604729,1.387938141822815,0.9994400143623352,0.7893999814987183
106,0.0009973464766517282,1.3859292268753052,0.9995999932289124,0.7890999913215637
107,0.0010007781675085425,1.3852308988571167,0.9995599985122681,0.7906000018119812
108,0.0008609695360064507,1.3791000843048096,0.9996799826622009,0.7919999957084656
109,0.0008972292998805642,1.3857648372650146,0.9995999932289124,0.7900999784469604
110,0.0008607662748545408,1.3707306385040283,0.9996399879455566,0.7932999730110168
111,0.0014388624113053083,1.376112937927246,0.999459981918335,0.7901999950408936
112,0.0009835963137447834,1.3724627494812012,0.9996799826622009,0.7914000153541565
113,0.001012448687106371,1.3749265670776367,0.9995800256729126,0.7906000018119812
114,0.0008259231690317392,1.3653032779693604,0.9996399879455566,0.7912999987602234
115,0.0007352082175202668,1.3653414249420166,0.9997000098228455,0.7925000190734863
116,0.0008568373741582036,1.3669025897979736,0.9996399879455566,0.7937999963760376
117,0.0008146813488565385,1.3644407987594604,0.9997000098228455,0.7901999950408936
118,0.0006987570668570697,1.366615653038025,0.9996399879455566,0.7912999987602234
119,0.0005385311087593436,1.363638997077942,0.9998800158500671,0.7928000092506409
120,0.000798790599219501,1.385449767112732,0.9996200203895569,0.7889999747276306
121,0.0006806133897043765,1.3842403888702393,0.9997000098228455,0.7911999821662903
122,0.000600185536313802,1.3731838464736938,0.9998000264167786,0.7936000227928162
123,0.0006814638618379831,1.3850325345993042,0.9996799826622009,0.7914000153541565
